001	Clyde	CL01	Arran	n	55.58	5.25
002	Clyde	CL02	Bute	n	55.83	5.07
003	Clyde	CL03	Great Cumbrae	n	55.77	4.92
004	Clyde	CL04	Little Cumbrae	y	55.72	4.95
005	Clyde	CL05	Ailsa Craig	y	55.25	5.12
006	Clyde	CL06	Holy Island	y	55.52	5.07
007	Clyde	CL07	Pladda	y	55.43	5.12
008	Clyde	CL08	Sanda	y	55.28	5.58
009	Clyde	CL09	Davaar	y	55.42	5.54
010	Clyde	CL10	Inchmarnock	y	55.79	5.16
011	Clyde	CL11	Lady Isle	y	55.53	4.73
012	Clyde	CL12	Horse Island	y	55.65	4.84
013	Clyde	CL13	Burnt Islands (Bute)	y	55.93	5.17
014	Clyde	CL14	Eilean Dubh (Bute)	n	55.93	5.18
015	Firth of Lorne	FL01	Lismore	n	56.51	5.50
016	Firth of Lorne	FL02	Kerrera	n	56.40	5.54
017	Firth of Lorne	FL03	Seil	n	56.30	5.62
018	Firth of Lorne	FL04	Luing	n	56.24	5.64
019	Firth of Lorne	FL05	Scarba	y	56.18	5.71
020	Firth of Lorne	FL06	Garvellachs	y	56.23	5.78
021	Firth of Lorne	FL07	Lunga	y	56.22	5.70
022	Firth of Lorne	FL08	Shuna (E of Luing)	y	56.22	5.60
023	Firth of Lorne	FL09	Eilean Macaskin	y	56.13	5.56
024	Firth of Lorne	FL10	Eilean Righ	y	56.16	5.54
025	Firth of Lorne	FL11	Eilean Mhic-Chrion	y	56.18	5.54
026	Firth of Lorne	FL12	Shuna (NW of Appin)	y	56.59	5.39
027	Firth of Lorne	FL13	Torsa (NE of Luing)	y	56.26	5.62
028	Firth of Lorne	FL14	Easdale (W of Seil)	y	56.29	5.66
029	Outliers	OL01	Flannan	y	58.28	7.58
030	Outliers	OL02	St. Kilda	y	57.82	8.58
031	Outliers	OL03	North Rona	y	59.12	5.83
032	Outliers	OL04	Sula Sgeir	y	59.10	6.13
033	Firth of Forth	FF01	Isle of May	y	56.19	2.56
034	Firth of Forth	FF02	Bass Rock	y	56.08	2.64
035	Firth of Forth	FF03	Craigleith	y	56.07	2.71
036	Firth of Forth	FF04	Fidra	y	56.07	2.78
037	Firth of Forth	FF05	Inchkeith	y	56.03	3.13
038	Firth of Forth	FF06	Inchcolm	y	56.03	3.30
039	Firth of Forth	FF07	Inchmickery	y	56.01	3.27
040	Firth of Forth	FF08	Lamb Island	y	56.07	2.75
041	Firth of Forth	FF09	Cramond Island	n	55.99	3.29
042	Solway Firth	SF01	Hestan	y	54.83	3.81
043	Solway Firth	SF02	Little Ross	y	54.77	4.08
044	Solway Firth	SF03	Islands of Fleet	y	54.82	4.22
045	Solway Firth	SF04	Murray's Island	y	54.82	4.24
046	Shetland and Fair Isle	SH01	Mainland	n	60.10	1.27
047	Shetland and Fair Isle	SH02	Unst	n	60.73	0.87
048	Shetland and Fair Isle	SH03	Yell	n	60.57	1.10
049	Shetland and Fair Isle	SH04	Fetlar	n	60.60	0.87
050	Shetland and Fair Isle	SH05	Whalsay	n	60.35	0.97
051	Shetland and Fair Isle	SH06	Bressay	n	60.15	1.08
052	Shetland and Fair Isle	SH07	Foula	n	60.13	2.07
053	Shetland and Fair Isle	SH08	Out Skerries	n	60.42	0.77
054	Shetland and Fair Isle	SH09	Fair Isle	n	59.54	1.63
055	Shetland and Fair Isle	SH10	Mousa	y	60.00	1.17
056	Shetland and Fair Isle	SH11	Noss	y	60.15	1.02
057	Shetland and Fair Isle	SH12	Vaila	y	60.20	1.59
058	Shetland and Fair Isle	SH13	Vementry	y	60.33	1.46
059	Shetland and Fair Isle	SH14	Papa Stour	y	60.33	1.70
060	Shetland and Fair Isle	SH15	Hascosay	y	60.61	0.99
061	Shetland and Fair Isle	SH16	Hildasay	y	60.15	1.36
062	Shetland and Fair Isle	SH17	Papa Little	y	60.33	1.39
063	Shetland and Fair Isle	SH18	Uyea (N of Mainland)	y	60.62	1.43
064	Shetland and Fair Isle	SH19	Balta (E of Unst)	y	60.74	0.79
065	Shetland and Fair Isle	SH20	Bigga (SW of Yell)	y	60.49	1.19
066	Shetland and Fair Isle	SH21	Trondra (W of Mainland)	y	60.12	1.29
067	Shetland and Fair Isle	SH22	West Burra (W of Mainland)	y	60.09	1.32
068	Shetland and Fair Isle	SH23	East Burra (W of Mainland)	y	60.08	1.31
069	Shetland and Fair Isle	SH24	Oxna (W of Mainland)	y	60.12	1.37
070	Shetland and Fair Isle	SH25	Papa (W of Mainland)	y	60.12	1.34
071	Shetland and Fair Isle	SH26	Linga (Olna Firth)	y	60.36	1.36
072	Shetland and Fair Isle	SH27	Linga (E of Yell)	y	60.67	0.98
073	Shetland and Fair Isle	SH28	West Linga (W of Whalsay)	y	60.36	1.04
074	Shetland and Fair Isle	SH29	Muckle Roe (W of Mainland)	y	60.37	1.42
075	Shetland and Fair Isle	SH30	Uyea	y	60.67	0.90
076	Orkney Islands	OR01	Mainland	n	58.98	3.08
077	Orkney Islands	OR02	Westray	n	59.30	2.95
078	Orkney Islands	OR03	Papa Westray	n	59.35	2.89
079	Orkney Islands	OR04	North Ronaldsay	n	59.37	2.42
080	Orkney Islands	OR05	South Ronaldsay	n	58.82	2.93
081	Orkney Islands	OR06	Hoy	n	58.83	3.28
082	Orkney Islands	OR07	Shapinsay	n	59.05	2.85
083	Orkney Islands	OR08	Stronsay	n	59.12	2.60
084	Orkney Islands	OR09	Rousay	n	59.15	3.03
085	Orkney Islands	OR10	Sanday	n	59.25	2.57
086	Orkney Islands	OR11	Eday	n	59.17	2.78
087	Orkney Islands	OR12	Egilsay	n	59.16	2.92
088	Orkney Islands	OR13	Flotta	n	58.83	3.12
089	Orkney Islands	OR14	Burray	n	58.85	2.90
090	Orkney Islands	OR15	Swona	y	58.74	3.06
091	Orkney Islands	OR16	Switha	y	58.80	3.10
092	Orkney Islands	OR17	Fara	y	58.84	3.17
